Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 126, Sample, n/a, SFug_F1	Abundances Count: F5: 126, Sample, n/a, SFug_F1	Modifications
Q9VWH4	Probable isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial	69.23	29	196	28	12130838.1685	157	
Q9VWI0	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	57.38	7	25	7	540542.5455	18	
Q9VWN5	Ubiquitin carboxyl-terminal hydrolase MINDY-3 homolog	17.32	9	22	0	69058.9722	18	
Q9VWP4	Sulfite oxidase, mitochondrial	8.55	5	7	5	10880.0789	3	
Q9VWU1	Serine protease persephone	8.88	4	6	4	29794.2098	5	
Q9VWV8	Nitric oxide synthase-interacting protein homolog	10.75	3	3	3	4120.0225	1	
Q9VWW0	Cyclic AMP response element-binding protein B	6.41	3	4	0	13758.814330000001	4	
Q9VWX8	Frequenin-2	37.43	8	52	3	943943.24385	37	
Q9VWY6	Transcription initiation factor TFIID subunit 8	6.1	2	4	2	11177.54	2	
Q9VX10	Sulfiredoxin	11.73	2	4	0	10928.1562	3	
Q9VX98	Density-regulated protein homolog	29.63	4	17	4	280728.1034	15	
Q9VXB0	NECAP-like protein CG9132	44.72	9	39	3	483650.00034	34	
Q9VXB5	Large ribosomal subunit protein uL22m	12.88	3	3	3	26366.22006	3	
Q9VXE0	Probable small nuclear ribonucleoprotein G	59.21	4	9	4	134418.8528	9	
Q9VXE5	Serine/threonine-protein kinase PAK mbt	8.76	4	9	4	18242.8431	4	
Q9VXE6	Nuclear pore complex protein Nup153	1.91	3	4	0	11327.674219999999	3	
Q9VXF1	Serine/threonine-protein phosphatase 2B catalytic subunit 3	39.9	18	82	0	680291.49229	64	
Q9VXG4	Annexin B11	23.68	14	41	14	481996.97225	36	
Q9VXJ0	Peroxisomal multifunctional enzyme type 2	21.07	11	19	0	140312.66113	16	
Q9VXK0	Protein NipSnap	9.89	3	16	0	160367.67724	13	
Q9VXK6	Eukaryotic translation initiation factor 5	18.32	10	21	9	89687.73913999999	11	
Q9VXN2	Protein stunted	81.97	6	16	6	248280.06571	10	
Q9VXN4	Probable arginine--tRNA ligase, cytoplasmic	12.63	9	10	9	36505.55983	7	
Q9VXP4	Platelet-activating factor acetylhydrolase IB subunit beta homolog	18.22	3	5	3	48604.0715	4	
Q9VXT7	Probable isoaspartyl peptidase/L-asparaginase CG7860	12.95	4	9	0	59476.687699999995	5	
Q9VXY0	Probable cytochrome P450 4s3	2.83	2	4	2	546.8536	1	
Q9VXY7	Lipid storage droplets surface-binding protein 2	35.8	10	28	0	594028.20685	21	
Q9VY28	Small ribosomal subunit protein mS25	23.95	4	7	4	23397.45436	5	
Q9VY77	LIM domain-containing protein jub	4.67	3	6	0	4296.7019	4	
Q9VY78	Chloride intracellular channel Clic	38.46	8	8	8	160187.46723	7	
Q9VY93	Probable methylthioribulose-1-phosphate dehydratase	7.05	2	3	0	25124.704400000002	3	
Q9VYB7	Protein-tyrosine sulfotransferase	1.6	1	2	0	7416.4313	2	
Q9VYD7	Mitochondrial import inner membrane translocase subunit Tim9	55.79	4	9	0	353575.5686	8	
Q9VYF8	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial	9.97	3	4	0	14036.75677	3	
Q9VYG1	26S proteasome non-ATPase regulatory subunit 5	1.78	1	2	0	7517.867200000001	2	
Q9VYG2	Brahma-associated protein of 60 kDa	11.26	6	7	6	12741.6751	5	
Q9VYH3	Probable alpha-aspartyl dipeptidase	29.17	6	13	0	68558.55811	10	
Q9VYI3	Large ribosomal subunit protein mL49	5.59	1	2	0	16689.8956	2	
Q9VYQ8	Ubiquitin carboxyl-terminal hydrolase 7	3.99	5	7	0	6267.91575	4	
Q9VYR0	LSM12 homolog A	14.29	3	8	3	34280.01954	7	
Q9VYS5	NADH dehydrogenase (ubiquinone) complex I, assembly factor 6 homolog	9.88	4	5	4	25540.305	5	
Q9VYV3	Thioredoxin domain-containing protein 5 homolog	47.84	17	42	17	512888.51919	34	
Q9VYV9	COMM domain-containing protein 10 homolog Vlet	12.61	3	3	0	14877.0576	3	
Q9VYX1	Enhancer of yellow 2 transcription factor	23.76	2	2	2	25291.781	1	
Q9VYY2	Signal peptidase complex subunit 2	33.67	8	20	0	195491.06256	17	
Q9VYY3	Ubiquitin-like modifier-activating enzyme 5	22.52	9	15	9	89470.76228	10	
Q9VZ23	GTP-binding nuclear protein Ran	51.85	11	32	0	614637.74746	28	
Q9VZ40	Uncharacterized protein CG1552	3.8	1	5	0	21272.43085	4	
Q9VZ49	Endoribonuclease Arlr	16.72	10	23	10	445270.71083	21	
Q9VZ64	Probable 6-phosphogluconolactonase	32.1	7	18	7	257085.89312	17	
Q9VZA4	Band 7 protein CG42540	12.08	6	14	0	51433.351500000004	8	
Q9VZD5	Small ribosomal subunit protein bS6m	10.2	2	4	0	21265.353	4	
Q9VZD8	THUMP domain-containing protein 1 homolog	8.64	4	6	4	7464.4447	3	
Q9VZE7	Choline transporter-like 1	3.76	2	3	0	2563.3645	1	
Q9VZI3	Unc-112-related protein	3.39	3	3	2	24410.3951	3	
Q9VZJ9	Mitochondrial E3 ubiquitin protein ligase 1	6.21	2	4	2	7243.5479	4	
Q9VZL5	Vacuolar fusion protein CCZ1 homolog	5.77	2	3	2	12301.00725	3	
Q9VZL6	Ragulator complex protein LAMTOR4 homolog	10.83	1	3	0	62068.195999999996	3	
Q9VZS3	Eukaryotic translation initiation factor eIF1	59.09	5	12	5	90118.06109999999	9	
Q9VZS5	Large ribosomal subunit protein eL28	45.14	8	37	0	342778.28440999996	28	
Q9VZU4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial	47.55	12	78	12	2057842.08089	66	
Q9VZX9	Adenosylhomocysteinase-like 1	21.69	11	18	10	231335.67056	16	
Q9W021	Large ribosomal subunit protein uL23m	9.33	2	4	0	26796.2363	2	
Q9W032	Protein ecdysoneless	5.12	4	4	4	719.50854	1	
Q9W058	Succinyl-CoA:3-ketoacid-coenzyme A transferase, mitochondrial	40.89	16	58	1	722618.05625	44	
Q9W074	Protein HBS1	4.33	3	4	3	6847.383400000001	3	
Q9W0A0	Protein draper	9.6	8	20	0	21223.95844	10	
Q9W0C1	Neuronal synaptobrevin	43.17	4	30	4	1028523.6374	28	
Q9W0C7	Protein OPI10 homolog	6.6	1	2	1	7734.6664	2	
Q9W0G1	Tyrosine-protein phosphatase non-receptor type 61F	11.13	7	10	3	18139.400569999998	8	
Q9W0H3	Lipid droplet-associated hydrolase	11.4	4	10	4	53784.24433	9	
Q9W0K4	Protein bric-a-brac 2	2.53	2	2	0	856.3709	1	
Q9W0P5	UDP-glucose 4-epimerase	19.43	8	15	0	252800.75433999998	11	
Q9W0S7	Staphylococcal nuclease domain-containing protein 1	14.25	13	21	13	81081.2568	17	
Q9W0Y1	Troponin C-akin-1 protein	26.95	5	16	3	146923.2513	10	
Q9W0Y6	Transient receptor potential cation channel protein painless	2.85	3	4	2	3441.83005	4	
Q9W141	Putative ATP synthase subunit f, mitochondrial	49.53	6	63	6	1968203.5663700001	49	
Q9W197	7-methylguanosine phosphate-specific 5'-nucleotidase	14.42	5	9	5	69685.35486	8	
Q9W1A4	Protein tamozhennic	5.52	2	2	0	348.83255	1	
Q9W1C9	Ejaculatory bulb-specific protein 3	58.73	13	119	0	12102607.211720001	92	
Q9W1G0	Probable transaldolase	48.04	12	51	12	1794517.44789	45	
Q9W1H9	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3	15.31	3	3	3	29703.943	3	
Q9W1K0	Transmembrane protein 14 homolog	28.57	3	8	0	49364.4038	5	
Q9W1K5	Sestrin homolog	6.84	4	7	0	28541.224000000002	5	
Q9W1V3	rRNA 2'-O-methyltransferase fibrillarin	12.79	6	9	6	52270.34654	7	
Q9W1X4	Nuclear pore complex protein Nup214	2.75	5	6	5	6430.77562	2	
Q9W1X8	Probable GDP-L-fucose synthase	12.77	5	11	5	77539.87197000001	11	
Q9W1X9	OCIA domain-containing protein 1	33.07	7	9	0	41685.638	7	
Q9W1Y1	ER membrane protein complex subunit 8/9 homolog	24.63	4	12	4	88991.44492000001	11	
Q9W237	Small ribosomal subunit protein uS9	66.89	13	65	0	1850319.3250399998	54	
Q9W265	Probable hydroxyacid-oxoacid transhydrogenase, mitochondrial	10.34	6	9	6	68668.83701999999	8	
Q9W266	Protein windpipe	20.68	10	31	10	155629.44839	23	
Q9W2D6	Mitochondrial import inner membrane translocase subunit Tim10	57.61	5	22	5	330615.6507	18	
Q9W2D9	Eukaryotic translation initiation factor 3 subunit K	28.38	5	8	5	52519.30867	5	
Q9W2E7	Protein Rae1	11.56	4	11	4	309155.0969	9	
Q9W2M2	Trehalase	29.36	16	47	0	472840.36189	37	
Q9W2N0	F-actin-capping protein subunit alpha	9.44	3	3	3	22131.0064	2	
Q9W2R3	Phosphatidylinositol 4-phosphate 5-kinase type-1 sktl	3.03	3	3	3	1838.3469	1	
Q9W2U4	Serine/threonine-protein phosphatase 4 regulatory subunit 2	15.6	9	17	1	40207.378899999996	9	
Q9W2Y3	NAD(P)H-hydrate epimerase	7.83	2	6	2	16409.36844	5	
Q9W303	Chitinase-like protein Idgf4	64.25	25	96	0	2061060.70181	67	
Q9W334	Small ribosomal subunit protein eS28	63.08	4	26	0	425297.03351	23	
Q9W358	Chaperone Ric-8	10.65	7	8	0	9855.3156	5	
Q9W369	Beta-alanyl-dopamine/carcinine hydrolase	50.65	20	79	20	2127193.89021	69	
Q9W379	Zinc finger protein ZPR1	12.91	6	9	6	23650.9203	7	
Q9W380	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3	18.18	2	12	2	341242.17303	9	
Q9W385	Frataxin homolog, mitochondrial	10.0	2	6	2	37364.22203	6	
Q9W3C7	Palmitoyl-protein thioesterase 1	12.42	4	7	0	16148.814699999999	5	
Q9W3E2	Protein PIP82	19.83	23	56	23	117424.66549	33	
Q9W3J5	Phenylalanine--tRNA ligase alpha subunit	14.86	8	17	8	43382.863	14	
Q9W3K5	Glutamate--cysteine ligase	4.88	4	7	0	23702.0153	6	
Q9W3N6	General vesicular transport factor p115	8.37	7	9	7	38217.9595	7	
Q9W3T7	UPAR/Ly6 domain-containing protein bou	12.08	2	6	2	90287.5789	5	
Q9W3W8	Large ribosomal subunit protein uL22	14.52	3	5	0	119241.3867	5	
Q9W3Y0	Zinc finger protein 593 homolog	11.11	1	1	1	2273.0806	1	
Q9W3Y4	GAS2-like protein pickled eggs	2.35	3	3	3	6821.73115	2	
Q9W401	Probable citrate synthase, mitochondrial	55.39	30	238	30	12036822.76137	173	
Q9W415	tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit wuho	14.86	4	5	4	21206.8576	4	
Q9W436	Neprilysin-1	4.24	4	4	4	16998.5735	4	
Q9W445	Malignant T-cell-amplified sequence 1 homolog	15.38	3	9	3	45249.64883	8	
Q9W4K2	Uncharacterized protein CG3556	6.72	4	17	0	56859.20155	12	
Q9W4P5	V-type proton ATPase subunit d 1	36.86	10	24	10	974390.71454	24	
Q9W4T4	3',5'-cyclic-AMP phosphodiesterase, isoform I	10.34	12	23	0	104041.59938	18	
Q9W4V8	Mitochondrial import inner membrane translocase subunit TIM50-C	12.38	5	7	0	46807.36037	7	
Q9W4X7	Eukaryotic translation initiation factor 3 subunit G-1	18.59	7	21	7	172794.2407	17	
Q9W552	Vacuolar protein sorting-associated protein 26	5.44	3	5	3	53275.7226	4	
Q9W596	Microtubule-associated protein futsch	26.66	89	189	0	834452.71744	153	
Q9W5E1	RING-box protein 1A	7.41	1	2	0	16032.945199999998	2	
Q9W5N0	Cytochrome c oxidase assembly factor 7 homolog	32.71	9	25	0	87536.60913	19	
Q9W5N2	Large ribosomal subunit protein eL38	28.57	2	12	0	190580.35976000002	9	
Q9W5P1	Mediator of RNA polymerase II transcription subunit 21	13.38	3	4	3	3909.31718	3	
Q9W5R8	Large ribosomal subunit protein uL18	33.78	8	14	0	138171.86288	14	
Q9W5Y0	Neprilysin-3	2.04	2	3	2	3972.5558	2	
Q9XTL9	Glycogen phosphorylase	31.87	30	75	0	552410.46196	53	
Q9XTM1	Exocyst complex component 5	2.96	3	3	3	25716.3887	2	
Q9XTN2	Insulin receptor substrate 1	1.96	2	4	0	615.56396	1	
Q9XY35	Cytochrome b-c1 complex subunit 9	41.82	2	4	2	472342.79	3	
Q9XYM0	Adapter molecule Crk	49.45	11	28	0	406699.9958	27	
Q9XYZ5	DNA damage-binding protein 1	3.95	5	8	5	46128.0846	7	
Q9XZ14	Protein gone early	4.44	4	4	1	9343.905	1	
Q9XZ58	COP9 signalosome complex subunit 5	10.4	4	7	1	32698.017440000003	7	
Q9XZ63	Mesencephalic astrocyte-derived neurotrophic factor homolog	34.68	7	22	7	216808.31437	21	
Q9XZH6	V-type proton ATPase subunit G	31.62	5	27	0	282625.05283	20	
Q9XZJ4	Proteasome subunit alpha type-6	44.26	13	36	0	247197.27993	32	
Q9XZL8	Protein sarah	34.25	7	12	0	87312.31575	8	
Q9Y091	Pre-mRNA-splicing regulator female-lethal(2)D	3.73	2	2	0	2680.19634	2	
Q9Y0I1	NuA4 complex subunit EAF3 homolog	11.79	3	6	0	3334.7659000000003	3	
Q9Y0V3	Mitochondrial import inner membrane translocase subunit Tim10B	32.48	4	6	4	17688.1704	4	
Q9Y0Y2	Adenylosuccinate synthetase	32.44	11	27	11	681418.3477299999	24	
Q9Y105	Probable glutamine--tRNA ligase	3.6	3	3	3	161845.0604	3	
Q9Y1A3	Mitochondrial import inner membrane translocase subunit Tim8	63.64	6	18	0	985784.6614	17	
X2JAU8	Protein nervous wreck	29.3	30	114	30	1483856.47187	99	
A0A023GPM5	Diacylglycerol kinase	7.87	8	12	0	11549.16758	6	
A0A0B4JCQ7	Suppressor of variegation 2-10, isoform K	5.03	3	3	0	20948.887300000002	3	
A0A0B4JCR9	Uncharacterized protein, isoform D	5.04	2	2	0	424.85318	1	
A0A0B4JCT7	Jabba, isoform F	19.37	11	28	0	139740.87133	19	
A0A0B4JCW4	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial	63.86	25	140	0	183167.2647	6	
A0A0B4JCX2	RIM-binding protein, isoform G	5.01	9	16	0	28673.407740000002	8	
A0A0B4JCY5	Myosin heavy chain-like, isoform H	8.07	5	5	0	3570.4492	2	
A0A0B4JCY6	Cheerio, isoform I	31.43	63	129	0	1886309.05406	114	
A0A0B4JCZ0	Oxysterol-binding protein	4.44	5	8	0	6889.02803	5	
A0A0B4JD18	Related to the N terminus of tre oncogene, isoform E	7.48	4	6	0	18837.489	5	
A0A0B4JD47	Missing-in-metastasis, isoform E	4.61	4	4	0	320.2171	1	
A0A0B4JD57	Zipper, isoform F	9.7	20	33	0	7782.3507	2	
A0A0B4JD97	Transforming acidic coiled-coil protein, isoform K	12.56	17	31	0	106986.98573	26	
A0A0B4K615	Smallish, isoform O	8.18	11	16	0	45744.578760000004	11	
A0A0B4K618	Fragile X messenger ribonucleoprotein 1, isoform G	8.5	6	10	0	15690.3162	7	
A0A0B4K620	Oxidation resistance protein 1	13.76	18	38	0	268698.91247	34	
A0A0B4K661	Tropomyosin 1, isoform Q	75.2	34	259	0	3777965.23341	149	
A0A0B4K663	Non-specific lethal 1, isoform N	4.02	5	8	0	17181.29157	6	
A0A0B4K6C8	Uncharacterized protein, isoform G	5.14	6	7	0	24912.340750000003	4	
A0A0B4K6I1	Scribble, isoform N	9.51	23	39	0	193498.56774	31	
A0A0B4K6K8	Musashi, isoform D	12.73	5	9	0	40387.66076	7	
A0A0B4K6P4	Hephaestus, isoform W	2.88	3	5	0	19960.362399999998	4	
A0A0B4K6Z2	Dystrobrevin	11.84	8	16	0	57592.61582	11	
A0A0B4K709	Uncharacterized protein, isoform E	2.78	2	3	0	567.63055	1	
A0A0B4K716	Diacylglycerol kinase	5.54	9	14	0	68436.33474	12	
A0A0B4K765	Paired amphipathic helix protein Sin3a	1.98	4	4	0	5133.894359999999	2	
A0A0B4K774	Abelson interacting protein, isoform D	15.72	8	16	0	73068.5982	12	
A0A0B4K775	Golgin 97, isoform B	5.14	3	4	0	5079.3235	2	
A0A0B4K7A5	Hu li tai shao, isoform Q	53.59	36	151	0	3683748.1175	129	
A0A0B4K7B0	Smooth, isoform O	19.03	8	23	0	116423.31127	21	
A0A0B4K7C1	Aspartyl beta-hydroxylase, isoform H	3.86	4	6	0	17805.97236	5	
A0A0B4K7D8	Uncharacterized protein, isoform B	4.31	2	3	0	17948.585039999998	3	
A0A0B4K7E3	Phosphatidylinositol 4-phosphate 5-kinase 59B, isoform F	7.72	4	7	0	13217.121	2	
A0A0B4K7H0	Tetratricopeptide repeat domain 7, isoform B	3.29	3	3	0	4952.107	1	
A0A0B4K7H3	Eucalyptus, isoform B	81.25	8	43	2	1948826.12839	39	
A0A0B4K7H7	Down syndrome cell adhesion molecule 1, isoform BY (Fragment)	2.62	5	6	0	33330.5493	5	
A0A0B4K7T7	Rho guanine nucleotide exchange factor 2, isoform G	2.19	5	5	0	1282.09705	2	
A0A0B4K7U0	Myosin-7a binding protein, isoform M	8.12	19	54	0	533490.5772	47	
A0A0B4K7V8	Bruchpilot, isoform K	51.55	104	349	1	10700.20605	6	
A0A0B4K7X5	glycogenin glucosyltransferase	13.58	7	31	0	145562.27916	25	
A0A0B4K885	Kenny, isoform B	17.48	7	9	2	26135.37635	7	
A0A0B4K891	Poly(A) binding protein interacting protein 1, isoform E	16.15	8	14	0	20953.52447	7	
A0A0B4KED6	Defective proboscis extension response 12, isoform D	8.72	3	4	0	10280.0353	3	
A0A0B4KEE1	Aldehyde dehydrogenase	23.34	11	18	0	141592.9057	14	
A0A0B4KEE5	Myosin-7a binding protein, isoform Q	12.46	23	62	0	146242.20314	9	
A0A0B4KEH7	CAP, isoform Y	12.79	32	56	0	209745.87661	44	
A0A0B4KEI5	Serrate RNA effector molecule homolog	8.34	9	11	1	15528.18296	7	
A0A0B4KEJ7	Coronin	17.01	9	17	0	74765.56007	13	
A0A0B4KEP1	Reduction in Cnn dots 1, isoform D	4.5	5	7	0	14124.67517	6	
A0A0B4KEP4	Myocyte enhancer factor 2, isoform G	2.35	1	1	0	925.8855	1	
A0A0B4KER0	Relative of woc, isoform C	3.23	3	3	0	6921.4519	3	
A0A0B4KEW6	Amphiphysin, isoform B	47.41	25	90	1	24590.785	1	
A0A0B4KEX6	Jitterbug, isoform M	8.52	25	39	0	99878.17537	29	
A0A0B4KF06	Valine--tRNA ligase	1.52	2	2	0	2421.6657	2	
A0A0B4KF22	Juvenile hormone binding protein 2, isoform E	10.63	3	4	0	8667.40426	2	
A0A0B4KF34	Uncharacterized protein, isoform D	5.75	5	8	0	10815.6754	3	
A0A0B4KF46	E1 ubiquitin-activating enzyme	8.93	10	20	0	165905.86889	14	
A0A0B4KF84	Stretchin-Mlck, isoform S	1.17	10	13	0	33084.18191	10	
A0A0B4KFA3	Uncharacterized protein, isoform F	3.66	5	6	0	3044.4399399999998	3	
A0A0B4KFA6	alpha-glucosidase	31.75	16	39	0	868763.22076	36	
A0A0B4KFD1	LDL receptor protein 1, isoform F	1.22	6	8	0	29549.75403	5	
A0A0B4KFE2	Like-AP180, isoform I	25.26	20	101	0	2166483.31964	79	
A0A0B4KFE4	long-chain-fatty-acid--CoA ligase	12.91	10	15	0	25691.036099999998	10	
A0A0B4KFE5	methenyltetrahydrofolate cyclohydrolase	22.44	9	22	1	149968.56495	18	
A0A0B4KFF6	DNAation factor-related protein 2, isoform D	13.88	7	20	0	349688.3898	13	
A0A0B4KFK4	Uncharacterized protein, isoform E	9.98	5	10	0	63689.52128	9	
A0A0B4KFQ3	DNAation factor-related protein 1, isoform B	15.03	4	7	0	9766.839899999999	5	
A0A0B4KFT3	Protein kinase C	11.94	9	12	0	89103.95006	8	
A0A0B4KFT9	Quaking related 54B, isoform E	8.1	5	12	0	29736.695789999998	10	
A0A0B4KFX8	Flapper, isoform C	3.46	3	5	0	9380.33975	4	
A0A0B4KFZ2	Uncharacterized protein, isoform G	4.13	4	5	0	8641.47712	4	
A0A0B4KFZ4	Transmembrane 4 superfamily, isoform C	3.42	1	2	0	7349.4449	2	
A0A0B4KG94	Uncharacterized protein, isoform B	7.71	4	8	0	59380.749899999995	8	
A0A0B4KGE5	Bonus, isoform C	8.86	10	13	0	25434.13953	8	
A0A0B4KGF0	Protein kinase D, isoform H	18.87	3	3	0	9577.8052	3	
A0A0B4KGF5	Uncharacterized protein, isoform C	9.33	5	7	0	25496.95044	7	
A0A0B4KGG9	C-terminal binding protein, isoform F	28.98	10	22	0	154851.11329	19	
A0A0B4KGI5	Carboxylic ester hydrolase	13.05	8	25	0	619290.86663	20	
A0A0B4KGK8	Syncrip, isoform R	29.0	15	48	0	329684.51068	41	
A0A0B4KGQ4	Easter, isoform B	12.26	3	3	1	27838.581299999998	3	
A0A0B4KGS4	non-specific serine/threonine protein kinase	4.46	2	3	0	994.0632	1	
A0A0B4KGU9	Extended synaptotagmin-like protein 2, isoform D	11.23	10	21	1	142031.7549	10	
A0A0B4KGW3	Uncharacterized protein, isoform B	1.68	1	1	0	492.27182	1	
A0A0B4KH03	Tetraspanin	20.77	6	13	1	22298.09778	8	
A0A0B4KH14	Ras modification protein ERF4	10.98	2	3	0	5189.9971000000005	2	
A0A0B4KH34	Annexin	67.9	22	147	2	5822038.53114	122	
A0A0B4KH38	Low-density lipoprotein receptor-related protein 8	1.97	2	2	0	9225.959	1	
A0A0B4KH68	Lysosomal enzyme receptor protein, isoform E	3.05	3	4	0	9762.6428	4	
A0A0B4KH84	Cuticular protein 97Ea, isoform B	29.75	10	25	0	157711.41429	21	
A0A0B4KHB9	Serine/threonine protein phosphatase 2A regulatory subunit	17.18	14	30	0	76596.82403	17	
A0A0B4KHE1	Uncharacterized protein, isoform B	10.93	4	7	0	33530.70306	5	
A0A0B4KHF0	Ferritin	77.97	20	130	1	5791927.53233	106	
A0A0B4KHJ9	Tropomyosin 2, isoform E	79.23	37	254	5	9541595.3103	198	
A0A0B4KHL4	non-specific serine/threonine protein kinase	11.92	7	10	1	115799.84955999999	7	
A0A0B4KHN1	Cheerio, isoform O	26.89	63	126	1	6261.2207	1	
A0A0B4KHN3	Scribble, isoform S	10.17	18	29	2	15011.73374	5	
A0A0B4KHP4	Couch potato, isoform P	4.28	3	13	0	76303.58425	12	
A0A0B4KHS1	Crumbs, isoform D	6.08	12	31	0	111232.04834	17	
A0A0B4KHT5	Syncrip, isoform J	20.89	15	48	0	73550.93166999999	4	
A0A0B4KHT8	Julius seizure, isoform E	5.14	3	7	0	9406.93925	5	
A0A0B4KHV1	Ecdysone-induced protein 93F, isoform C	6.14	4	4	0	25569.703	1	
A0A0B4KHW3	Aralar1, isoform F	6.48	5	8	1	24503.59826	7	
A0A0B4KHW7	Uncharacterized protein, isoform P	2.81	1	1	0	950.53595	1	
A0A0B4KHZ0	Without children, isoform E	1.76	3	3	0	2352.8818	1	
A0A0B4KHZ1	Lipid storage droplet-1, isoform D	49.63	17	58	1	855626.84993	46	
A0A0B4KI23	Uncharacterized protein	28.46	5	32	5	991280.58799	28	
A0A0B4KI57	Glucosamine 6-phosphate N-acetyltransferase	3.95	1	1	0	10246.741	1	
A0A0B4LEH1	Sticks and stones, isoform C	2.01	4	4	0	2721.0563300000003	2	
A0A0B4LEW1	Bloated, isoform E	2.31	3	4	0	5293.0918	2	
A0A0B4LEY1	Protein transport protein Sec31A	1.91	3	3	0	5734.3778999999995	2	
A0A0B4LF49	Menage a trois, isoform D	21.79	12	30	0	277676.56049	26	
A0A0B4LF88	Tripeptidyl-peptidase 2	20.51	30	47	0	247893.14213999998	32	
A0A0B4LF95	glutaminase	7.29	4	9	0	52613.6921	7	
A0A0B4LFA6	Proteasomal ubiquitin receptor ADRM1 homolog	51.65	15	39	2	484148.48782	33	
A0A0B4LFB8	Dynamin-like GTPase OPA1, mitochondrial	15.27	15	21	0	166390.03978	18	
A0A0B4LFE1	Uncharacterized protein, isoform B	18.1	4	9	0	33148.07436	7	
A0A0B4LFH2	Caspar, isoform C	5.51	4	6	0	12756.44214	4	
A0A0B4LFR4	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2	3.16	2	2	0	530.6995	1	
A0A0B4LFU6	Beta-glucuronidase	1.77	1	2	0	2235.5422	1	
A0A0B4LFW3	Odorant-binding protein 56e, isoform B	35.11	5	21	0	178361.5502	16	
A0A0B4LG34	Liprin-gamma, isoform E	2.4	3	3	0	597.89185	1	
A0A0B4LG88	Quaking related 58E-1, isoform D	18.21	7	9	0	16942.64705	7	
A0A0B4LG95	Lethal (2) k09913, isoform F	4.9	2	4	0	30248.458100000003	4	
A0A0B4LGB0	Gp150, isoform E	10.44	13	14	0	36993.804749999996	10	
A0A0B4LGB7	Calcium-transporting ATPase	25.63	24	67	0	771608.13043	52	
A0A0B4LGD3	Kazachoc, isoform G	6.31	8	15	0	162982.96787999998	14	
A0A0B4LGH8	Oxysterol-binding protein	5.91	3	5	0	12056.3551	4	
A0A0B4LGI1	Guanine nucleotide-binding protein G(s) subunit alpha	48.43	15	42	1	350384.51013	29	
A0A0B4LGM0	Prominin, isoform E	7.16	8	10	0	31647.477440000002	7	
A0A0B4LGQ1	Superoxide dismutase	38.25	9	60	0	2055036.79088	47	
A0A0B4LGT9	Uncharacterized protein, isoform B	2.65	1	2	0	6404.2363	1	
A0A0B4LGV6	Insulator binding factor 1, isoform B	17.72	4	8	0	25788.6081	6	
A0A0B4LGY1	Uncoordinated 115a, isoform G	24.76	21	59	0	447377.80808	51	
A0A0B4LH71	Synapse-associated protein 47kD, isoform K	62.82	20	141	0	8072.4433	2	
A0A0B4LHC9	Thioredoxin-related transmembrane protein 1	6.06	2	5	0	5360.3	3	
A0A0B4LHH8	Argus, isoform C	2.62	3	4	0	22363.2025	3	
A0A0B4LHR8	Uncharacterized protein, isoform G	9.01	8	13	0	69437.39040999999	13	
A0A0B4LHS0	Lnk, isoform E	3.26	2	2	0	2901.0522	1	
A0A0B4LI09	Uncharacterized protein, isoform C	6.2	3	5	0	16589.2117	5	
A0A0B4LIA3	non-specific serine/threonine protein kinase	7.92	3	4	1	10977.739599999999	2	
A0A0B4LIC4	Uncharacterized protein, isoform C	3.41	3	3	0	2623.86938	2	
A0A0B4LID7	Caseinolytic protease chaperone subunit, isoform C	23.71	14	27	0	104085.97471	24	
A0A0B4LIE8	Mitochondrial coenzyme A transporter SLC25A42	2.2	1	1	0	12558.232	1	
A0A0C4DH96	Sidestep V, isoform B	2.73	4	4	0	4071.3275000000003	2	
A0A0C4DHA8	Nuclear protein MDM1	30.66	23	55	1	231344.88451	44	
A0A0C4DHF6	Dystroglycan 1	2.54	3	5	0	6635.4983	4	
A0A0C4DHN4	Defective proboscis extension response 21	9.22	3	5	2	26149.876	5	
A0A0C4FEI8	Granny smith, isoform F	7.79	5	12	0	59005.84774	11	
A0A0S0WGZ0	Still life, isoform Q	0.86	2	2	0	334.25186	1	
A0A0U1RVK6	Fructose-1,6-bisphosphatase isozyme 2	25.36	7	16	0	144846.43776	13	
A0A126GUQ4	Carnitine O-Acetyl-Transferase, isoform E	7.84	5	9	0	12598.36776	5	
A0A126GUR6	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial	63.94	25	140	0	8208847.40817	116	
A0A126GV06	Uncharacterized protein, isoform B	20.95	7	15	0	69295.77954	13	
A0A126GV33	Uncharacterized protein, isoform F	9.17	3	4	0	39807.7103	4	
A0A1W5PXH3	Uncharacterized protein, isoform E	1.46	2	3	0	3840.84784	3	
A0A1Z1CH25	AT27361p	7.62	4	4	3	7345.89735	2	
