Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 126, Sample, n/a, SFug_F1	Abundances Count: F5: 126, Sample, n/a, SFug_F1	Modifications
Q7JRN6	GH06388p	11.21	3	10	3	14212.43718	7	
Q7JS69	FI04632p	45.02	10	65	1	458079.3719	14	
Q7JUN9	Deoxyribonuclease TATDN1	9.97	3	3	3	3472.3652	1	
Q7JUS1	NADP-retinol dehydrogenase	20.85	7	10	6	21093.21107	6	
Q7JUS9	Phosphate carrier protein, mitochondrial	27.81	14	56	11	834336.37418	39	
Q7JV09	GH28348p	7.5	8	12	5	24141.9292	8	
Q7JV69	SD11922p	6.95	3	6	3	14618.64676	4	
Q7JVG2	diphosphoinositol-polyphosphate diphosphatase	28.81	5	8	5	31483.74276	5	
Q7JVH6	LD24696p	27.01	8	20	7	258199.0883	14	
Q7JVI6	Glutathione S transferase E13, isoform A	28.32	6	16	6	143219.5777	14	
Q7JVK6	Translin	16.17	4	11	4	77784.80219	10	
Q7JVK8	GEO08987p1	52.05	8	31	8	211320.91543	21	
Q7JVM1	GH25962p	22.64	5	16	5	49372.13224	10	
Q7JVX3	Zinc carboxypeptidase A 1	14.56	6	11	0	62873.495500000005	9	
Q7JVZ8	Glutathione S transferase E11, isoform A	12.89	3	5	3	4259.90514	2	
Q7JW03	Ubiquitin-conjugating enzyme E2 H	13.11	3	9	3	88449.6014	9	
Q7JW07	LD08826p	12.12	3	3	3	22964.425	2	
Q7JW48	RE12410p	8.08	3	8	3	63750.41954	5	
Q7JW66	LD21545p	8.81	3	5	3	33368.4683	5	
Q7JWD6	Elongin-C	52.99	6	18	6	579399.82261	14	
Q7JWF1	Electron transfer flavoprotein-ubiquinone oxidoreductase	18.05	12	33	12	855761.16593	28	
Q7JWH5	RING-box protein 2	7.96	1	1	1	3792.5366	1	
Q7JWQ7	RE01730p	9.74	4	7	4	4886.32636	5	
Q7JWR4	GH19585p	6.06	1	2	1	16749.736	2	
Q7JWU9	AT07420p	22.49	7	8	7	20245.092239999998	6	
Q7JWX3	GH10112p	7.35	4	10	4	130040.06085	9	
Q7JX87	1-Cys peroxiredoxin	56.36	11	67	1	477874.3	2	
Q7JX94	Phospholipase A2	13.29	3	6	3	2297.5003	2	
Q7JXB5	Phosphoenolpyruvate carboxykinase [GTP]	9.72	7	13	0	83430.6863	9	
Q7JXB9	Endonuclease	8.39	4	4	4	11812.2194	3	
Q7JXC4	CG6459 protein	33.46	6	46	6	1577205.2925	39	
Q7JXW8	Off-track2	11.09	5	9	4	24863.5147	8	
Q7JXZ2	cystathionine gamma-lyase	15.01	5	12	5	116551.28365	9	
Q7JYH3	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11	42.94	5	7	5	270970.37384	7	
Q7JYW9	Phosphotransferase	18.72	9	13	9	52711.0322	12	
